관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41500-00008,꿈나무공원,어린이공원,경기도 이천시 설봉로 30번길 22,경기도 이천시 중리동 15,37.2785611,127.4388194,2526,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00009,남천공원,어린이공원,경기도 이천시 어재연로 10번길 25,경기도 이천시 중리동 210,37.2780103,127.444436,3830,,조합놀이대,화장실,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00010,향교공원,어린이공원,경기도 이천시 설봉로 81번길 34,경기도 이천시 창전동 408,37.2849017,127.4375887,1757,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00012,달맞이공원,어린이공원,경기도 이천시 향교로 53번길 23,경기도 이천시 창전동 423,37.2858539,127.4432146,1650,농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00013,체육공원,어린이공원,경기도 이천시 설봉로 174(창전동),경기도 이천시 창전동 432-10,37.2859688,127.4459699,1300,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00014,태극공원,어린이공원,경기도 이천시 서희로96번길 23(창전동),경기도 이천시 창전동 435-8,37.2841229,127.4454011,1200,농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00016,동새말공원,어린이공원,경기도 이천시 애련정로 135번길 23-13,경기도 이천시 창전동 455,37.2822743,127.4491159,1300,배드민턴장+농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00017,샛별공원,어린이공원,경기도 이천시 애련정로 103번길 19,경기도 이천시 창전동 466,37.2795137,127.4490814,1650,배드민턴장,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00019,장미공원,어린이공원,경기도 이천시 이섭대천로 1177번길 36,경기도 이천시 중리동 458-6,37.2758452,127.4451223,1650,배드민턴장,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00020,한마음공원,어린이공원,경기도 이천시 경충대로 2652번길 13,경기도 이천시 중리동 445-6,37.2767548,127.4380016,1650,농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00021,마전터공원,어린이공원,경기도 이천시 영창로 99,경기도 이천시 관고동 501-9,37.2841272,127.4345441,1000,농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00027,증포제3공원,어린이공원,경기도 이천시 이섭대천로 1325-1(증포동),경기도 이천시 증포동 483,37.28941811,127.4497003,2250,배드민턴장,조합놀이대,,,,2009-09-14,경기도 이천시청,031-645-3844,2023-03-03
41500-00031,증포3지구 어린이공원1,어린이공원,경기도 이천시 이섭대천로 1325,경기도 이천시 증포동 375-5,37.28772682,127.4502128,352,,조합놀이대+그네+흔들놀이기구+충격흡수용표면재 고무포설,화장실,,,2013-05-20,경기도 이천시청,031-645-3844,2023-03-03
